eccn_no,part_id,iso_language,beg_eff_dt,last_update_dt,parent_id,end_eff_dt,eccn_desc,iso_country,unit,notes,AT
0A606.a             ,US_ECCN_0A606A,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"a. Ground vehicles, whether manned or unmanned, specially designed for a military use and not enumerated or otherwise described in USML Category VII.  ",US,n/a,"Note 1  to paragraph .a: For purposes of paragraph .a, ground vehicles include (i) tanks and armored vehicles manufactured prior to 1956 that have not been modified since 1955 and that do not contain a functional weapon or a weapon capable of becoming functional through repair; (ii) military railway trains except those that are armed or are specially designed to launch missiles; (iii) unarmored military recovery and other support vehicles; (iv) unarmored, unarmed vehicles with mounts or hard points for firearms of .50 caliber or less; and (v) trailers specially designed for use with other ground vehicles enumerated in USML Category VII or ECCN 0A606.a, and not separately enumerated or otherwise described in USML Category VII. For purposes of this note, the term modified does not include incorporation of safety features required by law, cosmetic changes (e.g., different paint or repositioning of bolt holes) or addition of parts or components available prior to 1956.  Note 2 to paragraph .a: A ground vehicle's being specially designed for military use for purposes of determining controls under paragraph .a. entails a structural, electrical or mechanical feature involving one or more components that are specially designed for military use. Such components include:  a. Pneumatic tire casings of a kind specially designed to be bullet-proof;  b. Armored protection of vital parts (e.g., fuel tanks or vehicle cabs);  c. Special reinforcements or mountings for weapons;  d. Black-out lighting.",
0A606.b.1           ,US_ECCN_0A606B1,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"b. Other ground vehicles, parts and components, as follows:  b.1. Unarmed vehicles that are derived from civilian vehicles and that have all of the following:  b.1.a. Manufactured or fitted with materials or components other than reactive or electromagnetic armor to provide ballistic protection to level III (National Institute of Justice standard 0108.01, September 1985) or better;  b.1.b. A transmission to provide drive to both front and rear wheels simultaneously, including those vehicles having additional wheels for load bearing purposes whether driven or not;  b.1.c. Gross vehicle weight rating (GVWR) greater than 4,500 kg; and  b.1.d. Designed or modified for off-road use.",US,n/a,,
0A606.b.2           ,US_ECCN_0A606B2,EN,11/14/2013,8/29/2018,US_ECCN_0A606,1/1/2050,"b. Other ground vehicles, parts and components, as follows:  b.2. Parts and components having all of the following:  b.2.a. Specially designed for vehicles specified in paragraph .b.1 of this entry; and  b.2.b. Providing ballistic protection to level III (National Institute of Justice standard 0108.01, September 1985) or better.  Note 1 to paragraph b: Ground vehicles otherwise controlled by 0A606.b.1 that contain reactive or electromagnetic armor are subject to the controls of USML Category VII.  Note 2 to paragraph b: ECCN 0A606.b.1 does not control civilian vehicles specially designed for transporting money or valuables.  Note 3 to paragraph b: Unarmed means not having installed weapons, installed mountings for weapons, or special reinforcements for mounts for weapons.",US,n/a,,
0A606.c             ,US_ECCN_0A606C,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,c. Air-cooled diesel engines and engine blocks for armored vehicles that weigh more than 40 tons.,US,n/a,,
0A606.d             ,US_ECCN_0A606D,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,d. Fully automatic continuously variable transmissions for tracked combat vehicles.,US,n/a,,
0A606.e             ,US_ECCN_0A606E,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,e. Deep water fording kits specially designed for ground vehicles controlled by ECCN 0A606.a or USML Category VII.,US,n/a,,
0A606.f             ,US_ECCN_0A606F,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,f. Self-launching bridge components not enumerated in USML Category VII(g) specially designed for deployment by ground vehicles enumerated in USML Category VII or this ECCN.,US,n/a,,
0A606.x             ,US_ECCN_0A606X,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"x. Parts, components, accessories, and attachments that are specially designed for a commodity enumerated or otherwise described in ECCN 0A606 (other than 0A606.b or 0A606.y) or a defense article enumerated in USML Category VII and not elsewhere specified on the USML or in 0A606.y.  ",US,n/a,"Note 1: Forgings, castings, and other unfinished products, such as extrusions and machined bodies, that have reached a stage in manufacture where they are clearly identifiable by mechanical properties, material composition, geometry, or function as commodities controlled by ECCN 0A606.x are controlled by ECCN 0A606.x.  Note 2: Parts, components, accessories and attachments enumerated in USML paragraph VII(g) are subject to the controls of that paragraph. Parts, components, accessories and attachments described in ECCN 0A606.y are subject to the controls of that paragraph.",
0A606.y.1           ,US_ECCN_0A606Y1,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y. Specific parts, components, accessories, and attachments specially designed for a commodity enumerated or otherwise described in this ECCN (other than ECCN 0A606.b) or for a defense article in USML Category VII and not elsewhere specified on the USML or the CCL, as follows, and parts, components, accessories, and attachments specially designed therefor:  y.1. Brake discs, rotors, drums, calipers, cylinders, pads, shoes, lines, hoses, vacuum boosters, and parts therefor;",US,n/a,,
0A606.y.2           ,US_ECCN_0A606Y2,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,y.2. Alternators and generators;,US,n/a,,
0A606.y.3           ,US_ECCN_0A606Y3,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,y.3. Axles;,US,n/a,,
0A606.y.4           ,US_ECCN_0A606Y4,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,y.4. Batteries;,US,n/a,,
0A606.y.5           ,US_ECCN_0A606Y5,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y.5. Bearings (e.g., ball, roller, wheel);",US,n/a,,
0A606.y.6           ,US_ECCN_0A606Y6,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y.6. Cables, cable assembles, and connectors;",US,n/a,,
0A606.y.7           ,US_ECCN_0A606Y7,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,y.7. Cooling system hoses;,US,n/a,,
0A606.y.8           ,US_ECCN_0A606Y8,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y.8. Hydraulic, fuel, oil, and air filters, other than those controlled by ECCN 1A004;",US,n/a,,
0A606.y.9           ,US_ECCN_0A606Y9,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,y.9. Gaskets and o-rings;y.9. Gaskets and o-rings;,US,n/a,,
0A606.y.10          ,US_ECCN_0A606Y10,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y.10. Hydraulic system hoses, fittings, couplings, adapters, and valves;",US,n/a,,
0A606.y.11          ,US_ECCN_0A606Y11,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,y.11. Latches and hinges;,US,n/a,,
0A606.y.12          ,US_ECCN_0A606Y12,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y.12. Lighting systems, fuses, and components;",US,n/a,,
0A606.y.13          ,US_ECCN_0A606Y13,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y.13. Pneumatic hoses, fittings, adapters, couplings, and valves;",US,n/a,,
0A606.y.14          ,US_ECCN_0A606Y14,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y.14. Seats, seat assemblies, seat supports, and harnesses;",US,n/a,,
0A606.y.15          ,US_ECCN_0A606Y15,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y.15. Tires, except run flat; and",US,n/a,,
0A606.y.16          ,US_ECCN_0A606Y16,EN,11/14/2013,4/3/2018,US_ECCN_0A606,1/1/2050,"y.16. Windows, except those for armored vehicles.",US,n/a,,
0A614               ,US_ECCN_0A614,EN,3/18/2014,12/29/2016,US_ECCN_0A,1/1/2050,"Military training ""equipment,"" as follows (see List of Items Controlled).",US,n/a,,
0A614.a             ,US_ECCN_0A614A,EN,3/18/2014,9/12/2014,US_ECCN_0A614,1/1/2050,"a. ""Equipment"" ""specially designed"" for military training that is not enumerated or otherwise described in USML Category IX.   Note 1 to 0A614:  This entry includes operational flight trainers, radar target trainers, flight simulators for aircraft classified under ECCN 9A610.a, human-rated centrifuges, radar trainers for radars classified under ECCN 3A611, instrument flight trainers for military aircraft, navigation trainers for military items, target equipment, armament trainers, military pilotless aircraft trainers, mobile training units and training ""equipment""  for ground military operations.  Note 2 to 0A614: This entry does not apply to ""equipment"" ""specially designed"" for training in the use of hunting or sporting weapons.",US,n/a,,
0A614.x             ,US_ECCN_0A614X,EN,3/18/2014,12/29/2016,US_ECCN_0A614,1/1/2050,"x. ""Parts,"" ""components,"" ""accessories"" ""attachments"" that are ""specially designed"" for a commodity controlled by this entry or an article enumerated or otherwise described in USML Category IX, and not specified elsewhere on the USML.",US,n/a,,
0A617               ,US_ECCN_0A617,EN,11/14/2013,10/31/2018,US_ECCN_0A,1/1/2050,"Miscellaneous ""equipment,"" materials, and related commodities (see List of Items Controlled).",US,n/a,,
0A617.b             ,US_ECCN_0A617B,EN,11/14/2013,7/14/2014,US_ECCN_0A617,1/1/2050,"b. Concealment and deception equipment ""specially designed"" for military application, including special paints, decoys, smoke or obscuration equipment and simulators, and ""parts,"" ""components,"" ""accessories,"" and ""attachments"" ""specially designed"" therefor, not controlled by USML Category XIII.",US,n/a,,
0A617.c             ,US_ECCN_0A617C,EN,11/14/2013,7/14/2014,US_ECCN_0A617,1/1/2050,"c. Ferries, bridges (other than those described in ECCN 0A606 or USML Category VII), and pontoons, ""specially designed"" for military use.",US,n/a,,
0A617.d             ,US_ECCN_0A617D,EN,11/14/2013,7/14/2014,US_ECCN_0A617,1/1/2050,"d. Test models ""specially designed"" for the ""development"" of defense articles controlled by USML Categories IV, VI, VII and VIII.",US,n/a,,
0A617.f             ,US_ECCN_0A617F,EN,11/14/2013,7/14/2014,US_ECCN_0A617,1/1/2050,"f. ""Metal embrittlement agents.""",US,n/a,,
0A617.y.1           ,US_ECCN_0A617Y1,EN,11/14/2013,7/14/2014,US_ECCN_0A617,1/1/2050,"y. Other commodities as follows, and ""parts,"" ""components,"" ""accessories,"" and ""attachments"" ""specially designed"" therefor:   y.1. Construction equipment ""specially designed"" for military use, including such equipment ""specially designed"" for transport in aircraft controlled by USML VIII(a) or ECCN 9A610.a.",US,n/a,,
0A617.y.2           ,US_ECCN_0A617Y2,EN,11/14/2013,7/14/2014,US_ECCN_0A617,1/1/2050,"y.2. ""Parts,"" ""components,"" ""accessories,"" and ""attachments"" ""specially designed"" for commodities in paragraph .y.1 of this entry, including crew protection kits used as protective cabs.",US,n/a,,
0A617.y.3           ,US_ECCN_0A617Y3,EN,11/14/2013,10/31/2018,US_ECCN_0A617,1/1/2050,"y.3. ISO intermodal containers or demountable vehicle bodies (i.e., swap bodies), n.e.s., ""specially designed"" or 'modified' for shipping or packing defense articles or items controlled by a ""600 series"" ECCN.",US,n/a,"Technical Note: For the purpose of 0A617.y.3, 'modified' means any structural, electrical, mechanical, or other change that provides a non-military item with military capabilities equivalent to an item which is ""specially designed"" for military use.",
0A617.y.4           ,US_ECCN_0A617Y4,EN,11/14/2013,7/14/2014,US_ECCN_0A617,1/1/2050,"y.4. Field generators ""specially designed"" for military use.",US,n/a,,
0A617.y.5           ,US_ECCN_0A617Y5,EN,11/14/2013,7/14/2014,US_ECCN_0A617,1/1/2050,"y.5. Power controlled searchlights and control units therefor, ""specially designed"" for military use, and ""equipment"" mounting such units.",US,n/a,,
0A918               ,US_ECCN_0A918,EN,1/1/1980,7/14/2014,US_ECCN_0A,1/1/2050,Miscellaneous military equipment not on the Wassenaar Munitions List (see List of Items Controlled).,US,n/a,,
0A918.a             ,US_ECCN_0A918A,EN,1/1/1980,7/14/2014,US_ECCN_0A918,1/1/2050,a. Bayonets.,US,n/a,,
0A919               ,US_ECCN_0A919,EN,5/28/2009,10/31/2018,US_ECCN_0A,1/1/2050,Military Commodities Located and Produced Outside the United States as Follows (see list of items controlled).,US,$ Value,,
0A919.a             ,US_ECCN_0A919A,EN,7/10/2013,12/23/2016,US_ECCN_0A919,1/1/2050,"a. ""Military commodities"" produced and located outside the United States that are not subject to the International Traffic in Arms Regulations (22 CFR parts 120-130) and having any of the following characteristics:  SEE: 0A919.a.1, 0A919.a.2 and 0A919.a.3",US,$ Value,,
0A919.a.1           ,US_ECCN_0A919A1,EN,12/23/2016,10/31/2018,US_ECCN_0A919,1/1/2050,"a.1. Incorporate more than a de minimis amount of U.S.-origin controlled content classified under ECCNs 6A002, 6A003, or 6A993.a (having a maximum frame rate equal to or less than 9 Hz and thus meeting the criterion of Note 3.a to 6A003.b.4);",US,$ Value,,
0A919.a.2           ,US_ECCN_0A919A2,EN,12/23/2016,12/23/2016,US_ECCN_0A919,1/1/2050,"a.2. Incorporate more than a de minimis amount of U.S.-origin ""600 series"" controlled content (see §734.4 of the EAR); or",US,$ Value,,
0A919.a.3           ,US_ECCN_0A919A3,EN,12/23/2016,12/23/2016,US_ECCN_0A919,1/1/2050,"a.3. Are direct products of U.S.-origin ""600 series"" technology or software (see § 736.2(b)(3) of the EAR)",US,$ Value,,
0A978               ,US_ECCN_0A978,EN,1/1/1980,12/10/2018,US_ECCN_0A,1/1/2050,"Law enforcement striking weapons, including saps, police batons, side handle batons, tonfas, sjamboks, and whips.",US,$ Value,,
0A979               ,US_ECCN_0A979,EN,1/1/1980,11/14/2013,US_ECCN_0A,1/1/2050,"Police helmets and shields; and 'specially designed"" ""components,"" n.e.s.",US,$ Value,,
0A980               ,US_ECCN_0A980,EN,1/1/1980,11/13/2006,US_ECCN_0A,1/1/2050,Horses by sea.,US,$ Value,,
0A981               ,US_ECCN_0A981,EN,8/4/2010,10/8/2013,US_ECCN_0A,1/1/2050,Equipment designed for the execution of human beings as follows (see List of Items Controlled).,US,$ Value,,
0A981.a             ,US_ECCN_0A981A,EN,8/4/2010,8/4/2010,US_ECCN_0A981,1/1/2050,a. Gallows and guillotines.,US,$ Value,,
0A981.b             ,US_ECCN_0A981B,EN,8/4/2010,8/4/2010,US_ECCN_0A981,1/1/2050,b. Electric chairs for the purpose of executing human beings.,US,$ Value,,
0A981.c             ,US_ECCN_0A981C,EN,8/4/2010,8/4/2010,US_ECCN_0A981,1/1/2050,c. Air tight vaults designed for the execution of human beings by the administration of a lethal gas or substance.,US,$ Value,,
0A981.d             ,US_ECCN_0A981D,EN,8/4/2010,8/4/2010,US_ECCN_0A981,1/1/2050,d. Automatic drug injection systems designed for the execution of human beings by administration of a lethal substance.,US,$ Value,,
0A982               ,US_ECCN_0A982,EN,1/1/1980,10/8/2013,US_ECCN_0A,1/1/2050,"Law enforcement restraint devices, including leg irons, shackles, and handcuffs; straight jackets; stun cuffs; shock belts; shock sleeves; multipoint restraint devices such as restraint chairs; and ""specially designed"" ""parts,"" ""components"" and ""accessories,"" n.e.s.",US,$ Value,Note to ECCN 0A982. This ECCN applies to restraint devices used in law enforcement activities. It does not apply to medical devices that are equipped to restrain patient movement during medical procedures. It does not apply to devices that confine memory impaired patients to appropriate medical facilities. It does not apply to safety equipment such as safety belts or child automobile safety seats.,
0A983               ,US_ECCN_0A983,EN,1/1/1980,11/25/2014,US_ECCN_0A,1/1/2050,"Specially designed implements of torture, including thumbscrews, thumbcuffs, fingercuffs, spiked batons, and ""specially designed"" ""parts,"" ""components"" and ""accessories,"" n.e.s.  ",US,$ Value,"Note to ECCN 0A983. In this ECCN, ""torture"" has the meaning set forth in Section 2340(1) of Title 18, United States Code.",
0A984               ,US_ECCN_0A984,EN,1/1/1980,10/8/2013,US_ECCN_0A,1/1/2050,"Shotguns with barrel length 18 inches (45.72 cm) or over; receivers; barrels of 18 inches (45.72 cm) or longer but not longer than 24 inches (60.96 cm); complete trigger mechanisms; magazines and magazine extension tubes; complete breech mechanisms; buckshot shotgun shells; except equipment used exclusively to treat or tranquilize animals, and except arms designed solely for signal, flare, or saluting use.",US,$ Value,,
0A985               ,US_ECCN_0A985,EN,1/1/1980,11/25/2014,US_ECCN_0A,1/1/2050,"Discharge type arms and devices to administer electric shock, for example, stun guns, shock batons, shock shields, electric cattle prods, immobilization guns and projectiles; except equipment used exclusively to treat or tranquilize animals, and except arms designed solely for signal, flare, or saluting use; and ""specially designed"" ""parts"" and ""components,"" n.e.s.",US,$ Value,,
0A986               ,US_ECCN_0A986,EN,1/1/1980,10/8/2013,US_ECCN_0A,1/1/2050,"Shotgun shells, except buckshot shotgun shells, ""specially designed"" ""parts"" and ""components.""",US,$ Value,,applies to entire entry. A license is required for items controlled by this entry to North Korea for anti-terrorism reasons. The Commerce Country Chart is not designed to determine AT licensing requirements for this entry. See Sec. 742.19 of the EAR for additional information
0A987               ,US_ECCN_0A987,EN,1/1/1980,12/23/2016,US_ECCN_0A,1/1/2050,"Optical sighting devices for firearms (including shotguns controlled by 0A984); and ""components"" as follows (see List of Items Controlled).",US,$ Value,,
0A987.a             ,US_ECCN_0A987A,EN,8/4/2010,8/4/2010,US_ECCN_0A987,1/1/2050,a. Telescopic sights.,US,$ Value,,
0A987.b             ,US_ECCN_0A987B,EN,8/4/2010,8/4/2010,US_ECCN_0A987,1/1/2050,b. Holographic sights.,US,$ Value,,
0A987.c             ,US_ECCN_0A987C,EN,8/4/2010,8/4/2010,US_ECCN_0A987,1/1/2050,"c. Reflex or ""red dot"" sights.",US,$ Value,,
0A987.d             ,US_ECCN_0A987D,EN,8/4/2010,8/4/2010,US_ECCN_0A987,1/1/2050,d. Reticle sights.,US,$ Value,,
0A987.e             ,US_ECCN_0A987E,EN,8/4/2010,8/4/2010,US_ECCN_0A987,1/1/2050,e. Other sighting devices that contain optical elements.,US,$ Value,,
0A987.f             ,US_ECCN_0A987F,EN,8/4/2010,12/23/2016,US_ECCN_0A987,1/1/2050,"f. Laser aiming devices or laser illuminators ""specially designed"" for use on firearms, and having an operational wavelength exceeding 400 nm but not exceeding 710 nm.  ",US,$ Value,Note: 0A987.f does not control laser boresighting devices that must be placed in the bore or chamber to provide a reference for aligning the firearms sights.,
0A987.g             ,US_ECCN_0A987G,EN,8/4/2010,8/4/2010,US_ECCN_0A987,1/1/2050,"g. Lenses, other optical elements and adjustment mechanisms for articles in paragraphs a, b, c, d or e.",US,$ Value,,
0A988               ,US_ECCN_0A988,EN,1/1/1980,7/11/2014,US_ECCN_0A,1/1/2050,Conventional military steel helmets as described by 0A018.d.1.,US,n/a,,
0A998               ,US_ECCN_0A998,EN,8/28/2014,8/28/2014,US_ECCN_0A,1/1/2050,"Oil and gas exploration equipment, software, and data, as follows (see List of Items Controlled).",US,,,
0A998.a             ,US_ECCN_0A998A,EN,8/28/2014,8/28/2014,US_ECCN_0A998,1/1/2050,"a. Oil and gas exploration data, e.g., seismic analysis data.",US,,,
0A998.b.1           ,US_ECCN_0A998B1,EN,8/28/2014,8/28/2014,US_ECCN_0A998,1/1/2050,"b. Hydraulic fracturing items, as follows: b.1. Hydraulic fracturing design and analysis software and data.",US,,,
0A998.b.2           ,US_ECCN_0A998B2,EN,8/28/2014,8/28/2014,US_ECCN_0A998,1/1/2050,"b. Hydraulic fracturing items, as follows:  b.2. Hydraulic fracturing 'proppant,' 'fracking fluid,' and chemical additives therefor.",US,,"Technical Note: A 'proppant' is a solid material, typically treated sand or man- made ceramic materials, designed to keep an induced hydraulic fracture open, during or following a fracturing treatment. It is added to a 'fracking fluid' which may vary in composition depending on the type of fracturing used, and can be gel, foam or slickwater-based.",
0A998.b.3           ,US_ECCN_0A998B3,EN,8/28/2014,8/28/2014,US_ECCN_0A998,1/1/2050,b.3. High pressure pumps.,US,,,
0A999               ,US_ECCN_0A999,EN,1/1/1980,11/13/2006,US_ECCN_0A,1/1/2050,"Specific Processing Equipment, as Follows (See List of Items Controlled).",US,$ Value,,applies to entire entry. A license is required for items controlled by this entry to North Korea for anti-terrorism reasons. The Commerce Country Chart is not designed to determine AT licensing requirements for this entry. See Sec. 742.19 of the EAR for additional information.
0A999.a             ,US_ECCN_0A999A,EN,1/1/1980,11/26/2007,US_ECCN_0A999,1/1/2050,a. Ring Magnets;,US,$ Value,,applies to entire entry. A license is required for items controlled by this entry to North Korea for anti-terrorism reasons. The Commerce Country Chart is not designed to determine AT licensing requirements for this entry. See Sec. 742.19 of the EAR for additional information.
0B                  ,US_ECCN_0B,EN,1/1/1980,1/1/1980,US_ECCN_0,1/1/2050,"Test, Inspection, and Production Equipment",US,,,
0B521               ,US_ECCN_0B521,EN,4/19/2012,4/19/2012,US_ECCN_0B,1/1/2050,"Any commodity subject to the EAR that is not listed elsewhere in the CCL, but which is controlled for export because it provides at least a significant military or intelligence advantage to the United States or for foreign policy reasons.",US,n/a,,
0B604               ,US_ECCN_0B604,EN,3/18/2014,7/11/2014,US_ECCN_0B,1/1/2050,"Test, inspection, and production ""equipment"" and related commodities ""specially designed"" for the ""development,"" ""production,"" repair, overhaul, or refurbishing of commodities in ECCN 0A604 or related defense articles in USML Category IV (see List of Items Controlled).",US,n/a,,
0B604.a             ,US_ECCN_0B604A,EN,3/18/2014,3/24/2014,US_ECCN_0B604,1/1/2050,"a. Test, inspection, and other production ""equipment"" that are ""specially designed"" for the ""development,"" ""production,"" repair, overhaul, or refurbishing of commodities controlled by ECCN 0A604 or for bombs, torpedoes, depth charges, mines and hand grenades, and parts, components, accessories and attachments therefor, controlled under USML Category IV.",US,n/a,,
0B604.x             ,US_ECCN_0B604X,EN,3/18/2014,3/24/2014,US_ECCN_0B604,1/1/2050,"x. ""Parts,"" ""components,"" ""accessories,"" and ""attachments"" that are ""specially designed"" for a commodity subject to control in paragraph .a of this ECCN.",US,n/a,,
0B606               ,US_ECCN_0B606,EN,11/14/2013,3/17/2014,US_ECCN_0B,1/1/2050,"Test, inspection, and production ""equipment"" and related commodities, not enumerated on the USML, ""specially designed"" for the ""development,"" ""production,"" repair, overhaul, or refurbishing of commodities enumerated or otherwise described in ECCN 0A606 or USML Category VII (see List of Items Controlled).",US,,,
0B606.a             ,US_ECCN_0B606A,EN,11/14/2013,3/17/2014,US_ECCN_0B606,1/1/2050,"a. Test, inspection, and production ""equipment"" ""specially designed"" for the ""development,"" ""production,"" repair, overhaul, or refurbishing of commodities enumerated or otherwise described in ECCN 0A606 (except for 0A606.b or 0A606.y) or in USML Category VII, and ""parts,"" ""components,"" ""accessories,"" and ""attachments"" ""specially designed"" therefor.",US,,"Note 1: ECCN 0B606 includes  (i) armor plate drilling machines, other than radial drilling machines,  (ii) armor plate planing machines,  (iii) armor plate quenching presses; and  (iv) tank turret bearing grinding machines.",
0B606.b             ,US_ECCN_0B606B,EN,11/14/2013,3/17/2014,US_ECCN_0B606,1/1/2050,"b. Environmental test facilities ""specially designed"" for the certification, qualification, or testing of commodities enumerated or otherwise described in ECCN 0A606 (except for 0A606.b or 0A606.y) or in USML Category VII, and ""equipment"" ""specially designed"" therefor.",US,,,
0B614               ,US_ECCN_0B614,EN,3/18/2014,7/11/2014,US_ECCN_0B,1/1/2050,"Test, inspection, and production ""equipment"" for military training ""equipment"" and ""specially designed"" ""parts,"" ""components,"" ""accessories"" and ""attachments"" therefor, as follows (see List of Items Controlled).",US,n/a,,
0B614.a             ,US_ECCN_0B614A,EN,3/18/2014,3/24/2014,US_ECCN_0B614,1/1/2050,"a. Test, inspection, and other production ""equipment"" ""specially designed"" for the ""development,"" ""production,"" repair, overhaul, or refurbishing of commodities controlled by ECCN 0A614 or articles enumerated or otherwise described in USML Category IX.",US,n/a,,
0B614.x             ,US_ECCN_0B614X,EN,3/18/2014,3/24/2014,US_ECCN_0B614,1/1/2050,"x. ""Parts,"" ""components,"" ""accessories"" and ""attachments"" that are ""specially designed"" for a commodity controlled by ECCN 0B614.",US,n/a,,
0B617               ,US_ECCN_0B617,EN,11/14/2013,3/17/2014,US_ECCN_0B,1/1/2050,"Test, inspection, and production ""equipment"" and related commodities ""specially designed"" for the ""development,"" ""production,"" repair, overhaul, or refurbishing of commodities enumerated or otherwise described in ECCN 0A617 or USML Category XIII, and ""parts,"" ""components,"" ""accessories,"" and ""attachments"" ""specially designed"" therefor (see List of Items Controlled).",US,,,
