eccn_no,part_id,iso_language,beg_eff_dt,last_update_dt,parent_id,end_eff_dt,eccn_desc,iso_country,unit,notes,AT,AT1,AT2,CB,CB1,CB2,CB3,CC,CC1,CC2,CC3,CW,EI,FC1,MT1,MT2,NP,NP1,NP2,NS1,NS2,RS,RS1,RS2,SI,SL,SS,UN,Z,AGR,APP,APR,AVS,BAG,CIV,ENC,GBS,GFT,GOV,KMI,LVS,RPL,STA,TMP,TSR,TSU
0A001.h             ,EU_ECCN_0A001H,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,"h. &quot;Nuclear reactor internals&quot; specially designed or prepared for use in a &quot;nuclear reactor&quot;, including support columns for the core, fuel channels, calandria tubes, thermal shields, baffles, core grid plates, and diffuser plates;",EU,,"Technical Note: In 0A001.h. 'nuclear reactor internals' means any major structure within a reactor vessel which has one or more functions such as supporting the core, maintaining fuel alignment, directing primary coolant flow, providing radiation shields for the reactor vessel, and guiding in-core instrumentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.i             ,EU_ECCN_0A001I,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,i. Heat exchangers as follows:,EU,,"Note: 0A001.i. does not control heat exchangers for the supporting systems of the reactor, e.g., the emergency cooling system or the decay heat cooling system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.i.1           ,EU_ECCN_0A001I1,EN,1/1/1980,11/24/2020,EU_ECCN_0A001I,1/1/2050,"1. Steam generators specially designed or prepared for the primary, or intermediate, coolant circuit of a &quot;nuclear reactor&quot;;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.i.2           ,EU_ECCN_0A001I2,EN,1/1/1980,11/24/2020,EU_ECCN_0A001I,1/1/2050,2. Other heat exchangers specially designed or prepared for use in the primary coolant circuit of a &quot;nuclear reactor&quot;;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.j             ,EU_ECCN_0A001J,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,j. Neutron detectors specially designed or prepared for determining neutron flux levels within the core of a &quot;nuclear reactor&quot;;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.k             ,EU_ECCN_0A001K,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,k. 'External thermal shields' specially designed or prepared for use in a &quot;nuclear reactor&quot; for the reduction of heat loss and also for the containment vessel protection.,EU,,Technical Note: In 0A001.k. 'external thermal shields' means major structures placed over the reactor vessel which reduce heat loss from the reactor and reduce temperature within the containment vessel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B                  ,EU_ECCN_0B,EN,1/1/1980,11/24/2020,EU_ECCN_0,1/1/2050,"Test, Inspection and Production Equipment",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001               ,EU_ECCN_0B001,EN,1/1/1980,11/24/2020,EU_ECCN_0B,1/1/2050,"Plant for the separation of isotopes of &quot;natural uranium&quot;, &quot;depleted uranium&quot; or &quot;special fissile materials&quot;, and specially designed or prepared equipment and components therefor, as follows:",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a             ,EU_ECCN_0B001A,EN,1/1/1980,11/24/2020,EU_ECCN_0B001,1/1/2050,"a. Plant specially designed for separating isotopes of &quot;natural uranium&quot;, &quot;depleted uranium&quot;, or &quot;special fissile materials&quot;, as follows:",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a.1           ,EU_ECCN_0B001A1,EN,1/1/1980,11/24/2020,EU_ECCN_0B001A,1/1/2050,1. Gas centrifuge separation plant;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a.2           ,EU_ECCN_0B001A2,EN,1/1/1980,11/24/2020,EU_ECCN_0B001A,1/1/2050,2. Gaseous diffusion separation plant;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a.3           ,EU_ECCN_0B001A3,EN,1/1/1980,11/24/2020,EU_ECCN_0B001A,1/1/2050,3. Aerodynamic separation plant;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a.4           ,EU_ECCN_0B001A4,EN,1/1/1980,11/24/2020,EU_ECCN_0B001A,1/1/2050,4. Chemical exchange separation plant;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a.5           ,EU_ECCN_0B001A5,EN,1/1/1980,11/24/2020,EU_ECCN_0B001A,1/1/2050,5. Ion-exchange separation plant;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a.6           ,EU_ECCN_0B001A6,EN,1/1/1980,11/24/2020,EU_ECCN_0B001A,1/1/2050,6. Atomic vapour ″laser″ isotope separation (AVLIS) plant;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a.7           ,EU_ECCN_0B001A7,EN,1/1/1980,11/24/2020,EU_ECCN_0B001A,1/1/2050,7. Molecular ″laser″ isotope separation (MLIS) plant;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a.8           ,EU_ECCN_0B001A8,EN,1/1/1980,11/24/2020,EU_ECCN_0B001A,1/1/2050,8. Plasma separation plant;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.a.9           ,EU_ECCN_0B001A9,EN,1/1/1980,11/24/2020,EU_ECCN_0B001A,1/1/2050,9. Electro magnetic separation plant;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b             ,EU_ECCN_0B001B,EN,1/1/1980,11/24/2020,EU_ECCN_0B001,1/1/2050,"b. Gas centrifuges and assemblies and components, specially designed or prepared for gas centrifuge separation process, as follows:",EU,,"Technical Note: In 0B001.b. 'high strength-to-density ratio material' means any of the following: 1. Maraging steel capable of an ultimate tensile strength of 1,95 GPa or more; 2. Aluminium alloys capable of an ultimate tensile strength of 0,46 GPa or more; or 3. &quot;Fibrous or filamentary materials&quot; with a &quot;specific modulus&quot; of more than 3,18 x 10^6m and a &quot;specific tensile strength&quot; greater than 7,62 x 10^4 m;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.1           ,EU_ECCN_0B001B1,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,1. Gas centrifuges;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.2           ,EU_ECCN_0B001B2,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,2. Complete rotor assemblies;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.3           ,EU_ECCN_0B001B3,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,"3. Rotor tube cylinders with a wall thickness of 12 mm or less, a diameter of between 75 mm and 650 mm, made from 'high strength-to-density ratio materials';",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.4           ,EU_ECCN_0B001B4,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,"4. Rings or bellows with a wall thickness of 3 mm or less and a diameter of between 75 mm and 650 mm and designed to give local support to a rotor tube or to join a number together, made from 'high strength-to-density ratio materials';",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.5           ,EU_ECCN_0B001B5,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,"5. Baffles of between 75 mm and 650 mm diameter for mounting inside a rotor tube, made from 'high strength-to-density ratio materials'.",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.6           ,EU_ECCN_0B001B6,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,"6. Top or bottom caps of between 75 mm and 650 mm diameter to fit the ends of a rotor tube, made from 'high strength-to-density ratio materials';",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.7           ,EU_ECCN_0B001B7,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,7. Magnetic suspension bearings as follows:,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.7.a         ,EU_ECCN_0B001B7A,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B7,1/1/2050,a. Bearing assemblies consisting of an annular magnet suspended within a housing made of or protected by &quot;materials resistant to corrosion by UF6&quot; containing a damping medium and having the magnet coupling with a pole piece or second magnet fitted to the top cap of the rotor;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.7.b         ,EU_ECCN_0B001B7B,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B7,1/1/2050,b. Active magnetic bearings specially designed or prepared for use with gas centrifuges.,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.8           ,EU_ECCN_0B001B8,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,8. Specially prepared bearings comprising a pivot-cup assembly mounted on a damper;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.9           ,EU_ECCN_0B001B9,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,9. Molecular pumps comprised of cylinders having internally machined or extruded helical groovesand internally machined bores;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.10          ,EU_ECCN_0B001B10,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,10. Ring-shaped motor stators for multiphase AC hysteresis (or reluctance) motors for synchronous operation within a vacuum at a frequency of 600 Hz or more and a power of 40 VA or more;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.11          ,EU_ECCN_0B001B11,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,"11. Centrifuge housing/recipients to contain the rotor tube assembly of a gas centrifuge, consisting of a rigid cylinder of wall thickness up to 30 mm with precision machined ends that are parallel to each other and perpendicular to the cylinder’s longitudinal axis to within 0,05 degrees or less;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.12          ,EU_ECCN_0B001B12,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,12. Scoops consisting of specially designed or prepared tubes for the extraction of UF6 gas from within the rotor tube by a Pitot tube action and capable of being fixed to the central gas extraction system;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.13          ,EU_ECCN_0B001B13,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,"13. Frequency changers (converters or inverters) specially designed or prepared to supply motor stators for gas centrifuge enrichment, having all of the following characteristics, and specially designed components therefor: a. A multiphase frequency output of 600 Hz or greater; and b. High stability (with frequency control better than 0,2%);",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.14          ,EU_ECCN_0B001B14,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B,1/1/2050,14. Shut-off and control valves as follows:,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.14.a        ,EU_ECCN_0B001B14A,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B14,1/1/2050,"a. Shut-off valves specially designed or prepared to act on the feed, product or tails UF6 gaseous streams of an individual gas centrifuge;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.b.14.b        ,EU_ECCN_0B001B14B,EN,1/1/1980,11/24/2020,EU_ECCN_0B001B14,1/1/2050,"b. Bellows-sealed valves, shut-off or control, made of or protected by &quot;materials resistant to corrosion by UF6&quot;, with an inside diameter of 10 mm to 160 mm, specially designed or prepared for use in main or auxiliary systems of gas centrifuge enrichment plants;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.c             ,EU_ECCN_0B001C,EN,1/1/1980,11/24/2020,EU_ECCN_0B001,1/1/2050,"c. Equipment and components, specially designed or prepared for gaseous diffusion separation process, asfollows:",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.c.1           ,EU_ECCN_0B001C1,EN,1/1/1980,11/24/2020,EU_ECCN_0B001C,1/1/2050,"1. Gaseous diffusion barriers made of porous metallic, polymer or ceramic ?materials resistant to corrosion by UF6? with a pore size of 10 to 100 nm, a thickness of 5 mm or less, and, for tubularforms, a diameter of 25 mm or less;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.c.2           ,EU_ECCN_0B001C2,EN,1/1/1980,11/24/2020,EU_ECCN_0B001C,1/1/2050,2. Gaseous diffuser housings made of or protected by ?materials resistant to corrosion by UF6?;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.c.3           ,EU_ECCN_0B001C3,EN,1/1/1980,11/24/2020,EU_ECCN_0B001C,1/1/2050,"3. Compressors or gas blowers with a suction volume capacity of 1 m^3/min or more of UF6, discharge pressure up to 500 kPa and having a pressure ratio of 10:1 or less, and made of or protected by &quot;materials resistant to corrosion by UF6&quot;;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.c.4           ,EU_ECCN_0B001C4,EN,1/1/1980,11/24/2020,EU_ECCN_0B001C,1/1/2050,4. Rotary shaft seals for compressors or blowers specified in 0B001.c.3. and designed for a buffer gas in-leakage rate of less than 1 000 cm^3/min.;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.c.5           ,EU_ECCN_0B001C5,EN,1/1/1980,11/24/2020,EU_ECCN_0B001C,1/1/2050,"5. Heat exchangers made of or protected by &quot;materials resistant to corrosion by UF6&quot;, and designed for a leakage pressure rate of less than 10 Pa per hour under a pressure differential of 100 kPa;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.c.6           ,EU_ECCN_0B001C6,EN,1/1/1980,11/24/2020,EU_ECCN_0B001C,1/1/2050,"6. Bellows-sealed valves, manual or automated, shut-off or control, made of or protected by &quot;materials resistant to corrosion by UF6&quot;;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d             ,EU_ECCN_0B001D,EN,1/1/1980,11/24/2020,EU_ECCN_0B001,1/1/2050,"d. Equipment and components, specially designed or prepared for aerodynamic separation process, asfollows:",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.1           ,EU_ECCN_0B001D1,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D,1/1/2050,"1. Separation nozzles consisting of slit-shaped, curved channels having a radius of curvature less than1 mm, resistant to corrosion by UF6, and having a knife-edge contained within the nozzle whichseparates the gas flowing through the nozzle into two streams;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.2           ,EU_ECCN_0B001D2,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D,1/1/2050,"2. Cylindrical or conical tubes, (vortex tubes), made of or protected by &quot;materials resistant to corrosion by UF6&quot; and with one or more tangential inlets;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.3           ,EU_ECCN_0B001D3,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D,1/1/2050,"3. Compressors or gas blowers made of or protected by &quot;materials resistant to corrosion by UF6&quot;, and rotary shaft seals therefor;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.4           ,EU_ECCN_0B001D4,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D,1/1/2050,4. Heat exchangers made of or protected by ?materials resistant to corrosion by UF6?;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.5           ,EU_ECCN_0B001D5,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D,1/1/2050,"5. Separation element housings, made of or protected by &quot;materials resistant to corrosion by UF6&quot; to contain vortex tubes or separation nozzles;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.6           ,EU_ECCN_0B001D6,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D,1/1/2050,"6. Bellows-sealed valves, manual or automated, shut-off or control, made of or protected by &quot;materials resistant to corrosion by UF6&quot;, with a diameter of 40 mm or more;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.7           ,EU_ECCN_0B001D7,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D,1/1/2050,"7. Process systems for separating UF6 from carrier gas (hydrogen or helium) to 1 ppm UF6 content orless, including:",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.7.a         ,EU_ECCN_0B001D7A,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D7,1/1/2050,a. Cryogenic heat exchangers and cryoseparators capable of temperatures of 153K (– 120°C) orless;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.7.b         ,EU_ECCN_0B001D7B,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D7,1/1/2050,b. Cryogenic refrigeration units capable of temperatures of 153 K (– 120°C) or less;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.7.c         ,EU_ECCN_0B001D7C,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D7,1/1/2050,c. Separation nozzle or vortex tube units for the separation of UF6 from carrier gas;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.d.7.d         ,EU_ECCN_0B001D7D,EN,1/1/1980,11/24/2020,EU_ECCN_0B001D7,1/1/2050,d. UF6 cold traps capable of freezing out UF6;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.e             ,EU_ECCN_0B001E,EN,1/1/1980,11/24/2020,EU_ECCN_0B001,1/1/2050,"e. Equipment and components, specially designed or prepared for chemical exchange separation process,as follows:",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.e.1           ,EU_ECCN_0B001E1,EN,1/1/1980,11/24/2020,EU_ECCN_0B001E,1/1/2050,1. Fast-exchange liquid-liquid pulse columns with stage residence time of 30 seconds or less and resistant to concentrated hydrochloric acid (e.g. made of or protected by suitable plastic materials suchas fluorocarbon polymers or glass);,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.e.2           ,EU_ECCN_0B001E2,EN,1/1/1980,11/24/2020,EU_ECCN_0B001E,1/1/2050,2. Fast-exchange liquid-liquid centrifugal contactors with stage residence time of 30 seconds or lessand resistant to concentrated hydrochloric acid (e.g. made of or protected by suitable plastic materials such as fluorocarbon polymers or glass);,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.e.3           ,EU_ECCN_0B001E3,EN,1/1/1980,11/24/2020,EU_ECCN_0B001E,1/1/2050,"3. Electrochemical reduction cells resistant to concentrated hydrochloric acid solutions, for reductionof uranium from one valence state to another;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.e.4           ,EU_ECCN_0B001E4,EN,1/1/1980,11/24/2020,EU_ECCN_0B001E,1/1/2050,"4. Electrochemical reduction cells feed equipment to take U^+4 from the organic stream and, for those parts in contact with the process stream, made of or protected by suitable materials (e.g. glass, fluorocarbon polymers, polyphenyl sulphate, polyether sulfone and resin-impregnated graphite);",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.e.5           ,EU_ECCN_0B001E5,EN,1/1/1980,11/24/2020,EU_ECCN_0B001E,1/1/2050,"5. Feed preparation systems for producing high purity uranium chloride solution consisting of dissolution, solvent extraction and/or ion exchange equipment for purification and electrolytic cells for reducing the uranium U^+6 or U^+4 to U^+3;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.e.6           ,EU_ECCN_0B001E6,EN,1/1/1980,11/24/2020,EU_ECCN_0B001E,1/1/2050,6. Uranium oxidation systems for oxidation of U^+3 to U^+4;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.f             ,EU_ECCN_0B001F,EN,1/1/1980,11/24/2020,EU_ECCN_0B001,1/1/2050,"f. Equipment and components, specially designed or prepared for ion-exchange separation process, as follows:",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.f.1           ,EU_ECCN_0B001F1,EN,1/1/1980,11/24/2020,EU_ECCN_0B001F,1/1/2050,"1. Fast reacting ion-exchange resins, pellicular or porous macro-reticulated resins in which the activechemical exchange groups are limited to a coating on the surface of an inactive porous supportstructure, and other composite structures in any suitable form, including particles or fibres, withdiameters of 0,2 mm or less, resistant to concentrated hydrochloric acid and designed to have anexchange rate half-time of less than 10 seconds and capable of operating at temperatures in therange of 373 K (100 °C) to 473 K (200 °C);",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.f.2           ,EU_ECCN_0B001F2,EN,1/1/1980,11/24/2020,EU_ECCN_0B001F,1/1/2050,"2. Ion exchange columns (cylindrical) with a diameter greater than 1 000 mm, made of or protectedby materials resistant to concentrated hydrochloric acid (e.g. titanium or fluorocarbon plastics) andcapable of operating at temperatures in the range of 373 K (100 °C) to 473 K (200 °C) and pressures above 0,7 MPa;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.f.3           ,EU_ECCN_0B001F3,EN,1/1/1980,11/24/2020,EU_ECCN_0B001F,1/1/2050,3. Ion exchange reflux systems (chemical or electrochemical oxidation or reduction systems) for regeneration of the chemical reducing or oxidizing agents used in ion exchange enrichment cascades;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.g             ,EU_ECCN_0B001G,EN,1/1/1980,11/24/2020,EU_ECCN_0B001,1/1/2050,"g. Equipment and components, specially designed or prepared for laser-based separation processes using atomic vapour laser isotope separation, as follows:",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B001.g.1           ,EU_ECCN_0B001G1,EN,1/1/1980,11/24/2020,EU_ECCN_0B001G,1/1/2050,1. Uranium metal vaporization systems designed to achieve a delivered power of 1 kW or more on the target for use in laser enrichment;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
